event,year,character,value,rate,type,count
Hepatitis A,2022,Area,Iowa,0.2,Case,8
Hepatitis A,2023,Area,Iowa,0.4,Case,13
Hepatitis A,2011,Area,Kansas,0.1,Case,4
Hepatitis A,2012,Area,Kansas,0.5,Case,15
Hepatitis A,2013,Area,Kansas,0.4,Case,11
Hepatitis A,2014,Area,Kansas,0.2,Case,7
Hepatitis A,2015,Area,Kansas,0.2,Case,7
Hepatitis A,2016,Area,Kansas,0.2,Case,5
Hepatitis A,2017,Area,Kansas,0.2,Case,6
Hepatitis A,2018,Area,Kansas,0.5,Case,14
Hepatitis A,2019,Area,Kansas,0.3,Case,10
Hepatitis A,2020,Area,Kansas,10.9,Case,317
Hepatitis A,2021,Area,Kansas,8.6,Case,252
Hepatitis A,2022,Area,Kansas,1.9,Case,56
Hepatitis A,2023,Area,Kansas,2.8,Case,82
Hepatitis A,2011,Area,Kentucky,0.2,Case,10
Hepatitis A,2012,Area,Kentucky,0.6,Case,25
Hepatitis A,2013,Area,Kentucky,0.5,Case,24
Hepatitis A,2014,Area,Kentucky,0.4,Case,19
Hepatitis A,2015,Area,Kentucky,0.4,Case,16
Hepatitis A,2016,Area,Kentucky,0.2,Case,9
Hepatitis A,2017,Area,Kentucky,1.6,Case,71
Hepatitis A,2018,Area,Kentucky,79.7,Case,NA
Hepatitis A,2019,Area,Kentucky,29.5,Case,NA
Hepatitis A,2020,Area,Kentucky,1.3,Case,57
Hepatitis A,2021,Area,Kentucky,0.9,Case,42
Hepatitis A,2022,Area,Kentucky,0.2,Case,8
Hepatitis A,2023,Area,Kentucky,0.3,Case,15
Hepatitis A,2011,Area,Louisiana,0.1,Case,5
Hepatitis A,2012,Area,Louisiana,0.2,Case,7
Hepatitis A,2013,Area,Louisiana,0.3,Case,14
Hepatitis A,2014,Area,Louisiana,0.1,Case,5
Hepatitis A,2015,Area,Louisiana,0.1,Case,5
Hepatitis A,2016,Area,Louisiana,0.3,Case,12
Hepatitis A,2017,Area,Louisiana,0.2,Case,8
Hepatitis A,2018,Area,Louisiana,0.8,Case,37
Hepatitis A,2019,Area,Louisiana,14.8,Case,687
Hepatitis A,2020,Area,Louisiana,17,Case,790
Hepatitis A,2021,Area,Louisiana,4.5,Case,208
Hepatitis A,2022,Area,Louisiana,0.7,Case,31
Hepatitis A,2023,Area,Louisiana,0.3,Case,12
Hepatitis A,2011,Area,Maine,0.5,Case,6
Hepatitis A,2012,Area,Maine,0.7,Case,9
Hepatitis A,2013,Area,Maine,0.8,Case,10
Hepatitis A,2014,Area,Maine,0.6,Case,8
Hepatitis A,2015,Area,Maine,0.6,Case,8
Hepatitis A,2016,Area,Maine,0.6,Case,8
Hepatitis A,2017,Area,Maine,0.5,Case,7
Hepatitis A,2018,Area,Maine,0.7,Case,9
Hepatitis A,2019,Area,Maine,3.3,Case,45
Hepatitis A,2020,Area,Maine,10.7,Case,145
Hepatitis A,2021,Area,Maine,3.6,Case,50
Hepatitis A,2022,Area,Maine,4.6,Case,64
Hepatitis A,2023,Area,Maine,4.3,Case,60
Hepatitis A,2011,Area,Maryland,0.4,Case,26
Hepatitis A,2012,Area,Maryland,0.5,Case,28
Hepatitis A,2013,Area,Maryland,0.5,Case,29
Hepatitis A,2014,Area,Maryland,0.5,Case,27
Hepatitis A,2015,Area,Maryland,0.3,Case,19
Hepatitis A,2016,Area,Maryland,0.6,Case,37
Hepatitis A,2017,Area,Maryland,0.5,Case,29
Hepatitis A,2018,Area,Maryland,0.9,Case,52
Hepatitis A,2019,Area,Maryland,1.5,Case,88
Hepatitis A,2020,Area,Maryland,6,Case,366
Hepatitis A,2021,Area,Maryland,1.1,Case,65
Hepatitis A,2022,Area,Maryland,0.5,Case,29
Hepatitis A,2023,Area,Maryland,0.3,Case,17
Hepatitis A,2011,Area,Massachusetts,0.6,Case,39
Hepatitis A,2012,Area,Massachusetts,0.6,Case,40
Hepatitis A,2013,Area,Massachusetts,0.6,Case,43
Hepatitis A,2014,Area,Massachusetts,0.6,Case,43
Hepatitis A,2015,Area,Massachusetts,0.5,Case,34
Hepatitis A,2016,Area,Massachusetts,0.9,Case,64
Hepatitis A,2017,Area,Massachusetts,0.8,Case,52
Hepatitis A,2018,Area,Massachusetts,5.3,Case,364
Hepatitis A,2019,Area,Massachusetts,3,Case,204
Hepatitis A,2020,Area,Massachusetts,0.5,Case,32
Hepatitis A,2021,Area,Massachusetts,0.3,Case,19
Hepatitis A,2022,Area,Massachusetts,0.4,Case,27
Hepatitis A,2023,Area,Massachusetts,0.6,Case,41
Hepatitis A,2011,Area,Michigan,0.7,Case,70
Hepatitis A,2012,Area,Michigan,1,Case,100
Hepatitis A,2013,Area,Michigan,0.8,Case,83
Hepatitis A,2014,Area,Michigan,0.5,Case,45
Hepatitis A,2015,Area,Michigan,0.5,Case,51
Hepatitis A,2016,Area,Michigan,1.1,Case,112
Hepatitis A,2017,Area,Michigan,6.7,Case,670
Hepatitis A,2018,Area,Michigan,3,Case,299
Hepatitis A,2019,Area,Michigan,0.7,Case,70
Hepatitis A,2020,Area,Michigan,0.2,Case,21
Hepatitis A,2021,Area,Michigan,0.3,Case,26
Hepatitis A,2022,Area,Michigan,0.2,Case,22
Hepatitis A,2023,Area,Michigan,0.2,Case,21
Hepatitis A,2011,Area,Minnesota,0.5,Case,27
Hepatitis A,2012,Area,Minnesota,0.5,Case,29
Hepatitis A,2013,Area,Minnesota,0.6,Case,32
Hepatitis A,2014,Area,Minnesota,0.3,Case,19
Hepatitis A,2015,Area,Minnesota,0.4,Case,21
Hepatitis A,2016,Area,Minnesota,0.3,Case,15
Hepatitis A,2017,Area,Minnesota,0.5,Case,30
Hepatitis A,2018,Area,Minnesota,0.3,Case,16
Hepatitis A,2019,Area,Minnesota,1.3,Case,76
Hepatitis A,2020,Area,Minnesota,1.2,Case,70
Hepatitis A,2021,Area,Minnesota,0.2,Case,12
Hepatitis A,2022,Area,Minnesota,0.3,Case,15
Hepatitis A,2023,Area,Minnesota,0.3,Case,19
Hepatitis A,2011,Area,Mississippi,0.2,Case,7
Hepatitis A,2012,Area,Mississippi,0.4,Case,11
Hepatitis A,2013,Area,Mississippi,0.2,Case,5
Hepatitis A,2014,Area,Mississippi,0.1,Case,3
Hepatitis A,2015,Area,Mississippi,0.1,Case,2
Hepatitis A,2016,Area,Mississippi,0.1,Case,2
Hepatitis A,2017,Area,Mississippi,0.1,Case,3
Hepatitis A,2018,Area,Mississippi,0.4,Case,13
Hepatitis A,2019,Area,Mississippi,4.3,Case,128
Hepatitis A,2020,Area,Mississippi,12,Case,357
Hepatitis A,2021,Area,Mississippi,10,Case,295
Hepatitis A,2022,Area,Mississippi,4.6,Case,136
Hepatitis A,2023,Area,Mississippi,1.4,Case,41
Hepatitis A,2011,Area,Missouri,0.2,Case,13
Hepatitis A,2012,Area,Missouri,0.3,Case,20
Hepatitis A,2013,Area,Missouri,0.1,Case,8
Hepatitis A,2014,Area,Missouri,0.3,Case,20
Hepatitis A,2015,Area,Missouri,0.1,Case,9
Hepatitis A,2016,Area,Missouri,0.3,Case,16
Hepatitis A,2017,Area,Missouri,0.4,Case,27
Hepatitis A,2018,Area,Missouri,4,Case,243
Hepatitis A,2019,Area,Missouri,5.8,Case,359
Hepatitis A,2020,Area,Missouri,5.7,Case,350
Hepatitis A,2021,Area,Missouri,3.9,Case,239
Hepatitis A,2022,Area,Missouri,2,Case,124
Hepatitis A,2023,Area,Missouri,0.3,Case,17
Hepatitis A,2011,Area,Montana,0.3,Case,3
Hepatitis A,2012,Area,Montana,0.6,Case,6
Hepatitis A,2013,Area,Montana,0.6,Case,6
Hepatitis A,2014,Area,Montana,0.5,Case,5
Hepatitis A,2015,Area,Montana,0.2,Case,2
Hepatitis A,2016,Area,Montana,0.3,Case,3
Hepatitis A,2017,Area,Montana,0.3,Case,3
Hepatitis A,2018,Area,Montana,NA,Case,NA
Hepatitis A,2019,Area,Montana,1.4,Case,15
Hepatitis A,2020,Area,Montana,0.7,Case,8
Hepatitis A,2021,Area,Montana,0.3,Case,3
Hepatitis A,2022,Area,Montana,0.4,Case,5
Hepatitis A,2023,Area,Montana,0.2,Case,2
Hepatitis A,2011,Area,Nebraska,0.3,Case,5
Hepatitis A,2012,Area,Nebraska,0.9,Case,16
Hepatitis A,2013,Area,Nebraska,0.7,Case,13
Hepatitis A,2014,Area,Nebraska,0.5,Case,9
Hepatitis A,2015,Area,Nebraska,0.3,Case,6
Hepatitis A,2016,Area,Nebraska,1.1,Case,21
Hepatitis A,2017,Area,Nebraska,0.2,Case,4
Hepatitis A,2018,Area,Nebraska,0.3,Case,6
Hepatitis A,2019,Area,Nebraska,0.8,Case,15
Hepatitis A,2020,Area,Nebraska,0.3,Case,6
Hepatitis A,2021,Area,Nebraska,0.2,Case,3
Hepatitis A,2022,Area,Nebraska,0.9,Case,18
Hepatitis A,2023,Area,Nebraska,1,Case,19
Hepatitis A,2011,Area,Nevada,0.2,Case,5
Hepatitis A,2012,Area,Nevada,0.4,Case,10
Hepatitis A,2013,Area,Nevada,0.7,Case,19
Hepatitis A,2014,Area,Nevada,0.2,Case,5
Hepatitis A,2015,Area,Nevada,0.4,Case,11
Hepatitis A,2016,Area,Nevada,0.5,Case,14
Hepatitis A,2017,Area,Nevada,0.6,Case,19
Hepatitis A,2018,Area,Nevada,1.4,Case,41
Hepatitis A,2019,Area,Nevada,3.3,Case,102
Hepatitis A,2020,Area,Nevada,0.6,Case,20
Hepatitis A,2021,Area,Nevada,0.1,Case,3
Hepatitis A,2022,Area,Nevada,0.5,Case,15
Hepatitis A,2023,Area,Nevada,0.4,Case,14
Hepatitis A,2011,Area,New Hampshire,NA,Case,NA
Hepatitis A,2012,Area,New Hampshire,0.5,Case,6
Hepatitis A,2013,Area,New Hampshire,0.7,Case,9
Hepatitis A,2014,Area,New Hampshire,0.4,Case,5
Hepatitis A,2015,Area,New Hampshire,0.2,Case,2
Hepatitis A,2016,Area,New Hampshire,0.6,Case,8
Hepatitis A,2017,Area,New Hampshire,0.5,Case,7
Hepatitis A,2018,Area,New Hampshire,0.9,Case,12
Hepatitis A,2019,Area,New Hampshire,22.7,Case,309
Hepatitis A,2020,Area,New Hampshire,2,Case,27
Hepatitis A,2021,Area,New Hampshire,0.4,Case,5
Hepatitis A,2022,Area,New Hampshire,0.2,Case,3
Hepatitis A,2023,Area,New Hampshire,0.1,Case,1
Hepatitis A,2011,Area,New Jersey,0.9,Case,79
Hepatitis A,2012,Area,New Jersey,0.7,Case,60
Hepatitis A,2013,Area,New Jersey,0.8,Case,68
Hepatitis A,2014,Area,New Jersey,0.7,Case,59
Hepatitis A,2015,Area,New Jersey,0.7,Case,59
Hepatitis A,2016,Area,New Jersey,0.8,Case,74
Hepatitis A,2017,Area,New Jersey,0.8,Case,71
Hepatitis A,2018,Area,New Jersey,0.8,Case,70
Hepatitis A,2019,Area,New Jersey,6.9,Case,610
Hepatitis A,2020,Area,New Jersey,1.7,Case,155
Hepatitis A,2021,Area,New Jersey,1.3,Case,124
Hepatitis A,2022,Area,New Jersey,0.5,Case,42
Hepatitis A,2023,Area,New Jersey,0.8,Case,78
Hepatitis A,2011,Area,New Mexico,0.3,Case,7
Hepatitis A,2012,Area,New Mexico,0.5,Case,10
Hepatitis A,2013,Area,New Mexico,1,Case,20
Hepatitis A,2014,Area,New Mexico,0.4,Case,8
Hepatitis A,2015,Area,New Mexico,0.3,Case,6
Hepatitis A,2016,Area,New Mexico,0.2,Case,4
Hepatitis A,2017,Area,New Mexico,0.2,Case,4
Hepatitis A,2018,Area,New Mexico,1.1,Case,23
Hepatitis A,2019,Area,New Mexico,5,Case,104
Hepatitis A,2020,Area,New Mexico,0.3,Case,6
Hepatitis A,2021,Area,New Mexico,0.3,Case,7
Hepatitis A,2022,Area,New Mexico,0.3,Case,7
Hepatitis A,2023,Area,New Mexico,0.3,Case,7
Hepatitis A,2011,Area,New York,0.6,Case,113
Hepatitis A,2012,Area,New York,0.6,Case,111
Hepatitis A,2013,Area,New York,0.8,Case,167
Hepatitis A,2014,Area,New York,0.4,Case,84
Hepatitis A,2015,Area,New York,0.6,Case,123
Hepatitis A,2016,Area,New York,0.5,Case,99
Hepatitis A,2017,Area,New York,1.1,Case,218
Hepatitis A,2018,Area,New York,0.8,Case,165
Hepatitis A,2019,Area,New York,2,Case,391
Hepatitis A,2020,Area,New York,1.3,Case,257
Hepatitis A,2021,Area,New York,1,Case,194
Hepatitis A,2022,Area,New York,0.4,Case,83
Hepatitis A,2023,Area,New York,0.5,Case,91
Hepatitis A,2011,Area,North Carolina,0.3,Case,31
Hepatitis A,2012,Area,North Carolina,0.3,Case,34
Hepatitis A,2013,Area,North Carolina,0.5,Case,46
Hepatitis A,2014,Area,North Carolina,0.4,Case,38
Hepatitis A,2015,Area,North Carolina,0.4,Case,45
Hepatitis A,2016,Area,North Carolina,0.5,Case,52
Hepatitis A,2017,Area,North Carolina,0.3,Case,29
Hepatitis A,2018,Area,North Carolina,1,Case,103
Hepatitis A,2019,Area,North Carolina,1.5,Case,154
Hepatitis A,2020,Area,North Carolina,4.8,Case,509
Hepatitis A,2021,Area,North Carolina,8.9,Case,940
Hepatitis A,2022,Area,North Carolina,1,Case,104
Hepatitis A,2023,Area,North Carolina,0.2,Case,26
Hepatitis A,2011,Area,North Dakota,NA,Case,NA
Hepatitis A,2012,Area,North Dakota,0.3,Case,2
Hepatitis A,2013,Area,North Dakota,1.2,Case,9
Hepatitis A,2014,Area,North Dakota,1.2,Case,9
Hepatitis A,2015,Area,North Dakota,0.7,Case,5
Hepatitis A,2016,Area,North Dakota,0.3,Case,2
Hepatitis A,2017,Area,North Dakota,NA,Case,NA
Hepatitis A,2018,Area,North Dakota,NA,Case,NA
Hepatitis A,2019,Area,North Dakota,0.5,Case,4
Hepatitis A,2020,Area,North Dakota,0.1,Case,1
Hepatitis A,2021,Area,North Dakota,0.3,Case,2
Hepatitis A,2022,Area,North Dakota,0.3,Case,2
Hepatitis A,2023,Area,North Dakota,0.1,Case,1
Hepatitis A,2011,Area,Ohio,0.3,Case,39
Hepatitis A,2012,Area,Ohio,0.3,Case,36
Hepatitis A,2013,Area,Ohio,0.5,Case,59
Hepatitis A,2014,Area,Ohio,0.3,Case,32
Hepatitis A,2015,Area,Ohio,0.3,Case,36
Hepatitis A,2016,Area,Ohio,0.3,Case,36
Hepatitis A,2017,Area,Ohio,0.4,Case,45
Hepatitis A,2018,Area,Ohio,14.4,Case,NA
Hepatitis A,2019,Area,Ohio,15.4,Case,NA
Hepatitis A,2020,Area,Ohio,2.4,Case,276
Hepatitis A,2021,Area,Ohio,0.5,Case,54
Hepatitis A,2022,Area,Ohio,0.2,Case,19
Hepatitis A,2023,Area,Ohio,0.2,Case,26
Hepatitis A,2011,Area,Oklahoma,0.3,Case,11
Hepatitis A,2012,Area,Oklahoma,0.3,Case,12
Hepatitis A,2013,Area,Oklahoma,0.4,Case,14
Hepatitis A,2014,Area,Oklahoma,0.4,Case,17
